"","State_Name","County","City","Zip_Code","AllSbjtNumReady","AllSbjtNumAssessed","Lat","Lon","Mean_Income","Median_Income","FinalMathAveScore","FinalAllSbjtAveScore","FinalEWBRWAveScore","MathPctReady","TotalPerReady","EBRWPctReady","Median","Income_Level","difference_from_avg_median"
"145","Michigan","Alcona County","Dearborn",48124,257,734,42.2958208,-83.2300991,75935,66150,497.590599455041,1004.11416893733,506.485286103542,0.369209809264305,0.350136239782016,0.606267029972752,66150,"Medium",5358.67545638945
"146","Michigan","Alcona County","Melvindale",48122,21,241,42.2659846,-83.2032428,64512,54180,430.149377593361,883.247302904564,453.097925311203,0.0912863070539419,0.0871369294605809,0.336099585062241,54180,"Medium",17328.6754563895
"147","Michigan","Alcona County","Allen Park",48101,109,286,42.2511427,-83.225844,77104,69281,509.511538461538,1021.33531468531,511.823776223776,0.405594405594406,0.381118881118881,0.615384615384615,69281,"Medium",2227.67545638945
"148","Michigan","Alcona County","Allen Park",48101,109,286,42.2340803,-83.2086055,84182,300000,509.511538461538,1021.33531468531,511.823776223776,0.405594405594406,0.381118881118881,0.615384615384615,3e+05,"High",-228491.324543611
"149","Michigan","Alcona County","Lincoln Park",48146,51,240,42.2522226,-83.1670939,25120,18224,455.6,919.5,463.9,0.2375,0.2125,0.375,18224,"Low",53284.6754563895
"150","Michigan","Alcona County","Lincoln Park",48146,51,240,42.2482446,-83.1956204,53926,51701,455.6,919.5,463.9,0.2375,0.2125,0.375,51701,"Medium",19807.6754563895
"151","Michigan","Alcona County","Lincoln Park",48146,51,240,42.2428548,-83.1748864,40802,27381,455.6,919.5,463.9,0.2375,0.2125,0.375,27381,"Low",44127.6754563895
"152","Michigan","Alcona County","Lincoln Park",48146,51,240,42.2341045,-83.1909896,59457,55117,455.6,919.5,463.9,0.2375,0.2125,0.375,55117,"Medium",16391.6754563895
"153","Michigan","Alcona County","Chesterfield",48047,0,11,42.655689,-82.7907353,83192,78046,340,735.5,395.5,0,0,0,78046,"High",-6537.32454361055
"154","Michigan","Alcona County","Melvindale",48122,21,241,42.2863361,-83.1807939,28353,28904,430.149377593361,883.247302904564,453.097925311203,0.0912863070539419,0.0871369294605809,0.336099585062241,28904,"Low",42604.6754563895
"155","Michigan","Alcona County","River Rouge",48218,0,192,42.2671403,-83.1344433,35339,26118,412.7,832.6,419.9,0.0677083333333333,0,0.15625,26118,"Low",45390.6754563895
"156","Michigan","Alcona County","Ecorse",48229,0,77,42.2566755,-83.1515705,48654,18017,386.8,791,404.3,0,0,0.12987012987013,18017,"Low",53491.6754563895
"157","Michigan","Alcona County","Detroit",48228,0,211,42.3201738,-83.2373533,100043,98362,375.38672985782,779.056872037915,403.670142180095,0,0,0.028436018957346,98362,"High",-26853.3245436105
"158","Michigan","Alcona County","Wyandotte",48192,65,308,42.2189431,-83.1622162,62340,54858,471.1,964.4,493.2,0.224025974025974,0.211038961038961,0.538961038961039,54858,"Medium",16650.6754563895
"159","Michigan","Alcona County","Wyandotte",48192,65,308,42.2058658,-83.1492673,44136,24015,471.1,964.4,493.2,0.224025974025974,0.211038961038961,0.538961038961039,24015,"Low",47493.6754563895
"160","Michigan","Alcona County","Southgate",48195,46,320,42.2089429,-83.2137995,76342,300000,442.79625,916.4475,473.65625,0.146875,0.14375,0.434375,3e+05,"High",-228491.324543611
"161","Michigan","Alcona County","Southgate",48195,46,320,42.2199189,-83.2138155,44619,38481,442.79625,916.4475,473.65625,0.146875,0.14375,0.434375,38481,"Medium",33027.6754563895
"162","Michigan","Alcona County","Southgate",48195,46,320,42.1922884,-83.1864409,37111,32683,442.79625,916.4475,473.65625,0.146875,0.14375,0.434375,32683,"Low",38825.6754563895
"163","Michigan","Alcona County","Taylor",48180,77,494,42.2620128,-83.2949938,46499,40174,440.523076923077,904.264170040486,463.741093117409,0.161943319838057,0.15587044534413,0.408906882591093,40174,"Medium",31334.6754563895
"164","Michigan","Alcona County","Macomb",48044,354,732,42.634855,-82.9645785,71864,61350,527.3,1046.9,519.5,0.513661202185792,0.483606557377049,0.669398907103825,61350,"Medium",10158.6754563895
"165","Michigan","Alcona County","Taylor",48180,77,494,42.2553479,-83.240133,41224,31558,440.523076923077,904.264170040486,463.741093117409,0.161943319838057,0.15587044534413,0.408906882591093,31558,"Low",39950.6754563895
"166","Michigan","Alcona County","Taylor",48180,77,494,42.244876,-83.2597295,64601,45730,440.523076923077,904.264170040486,463.741093117409,0.161943319838057,0.15587044534413,0.408906882591093,45730,"Medium",25778.6754563895
"167","Michigan","Alcona County","Taylor",48180,77,494,42.2339128,-83.261847,46512,36933,440.523076923077,904.264170040486,463.741093117409,0.161943319838057,0.15587044534413,0.408906882591093,36933,"Medium",34575.6754563895
