OBJECTID,GEOID10,MathNumAssessed,MathNumReady,AllSbjtNumReady,AllSbjtNumAssessed,EBRWNumAssessed,EBRWNumReady,FinalMathAveScore,FinalAllSbjtAveScore,FinalEWBRWAveScore,MathPctReady,AllSbjtPctReady,EBRWPctReady,Shape__Area,Shape__Length,ZCTA
165,2648911,34,0,0,34,34,0,360.9,746.2,385.3,0,0,0,450062977.293457,179099.630272835,48911
166,2648439,672,296,282,672,672,474,517.203125,1050.67916666667,533.476041666667,0.44047619047619,0.419642857142857,0.705357142857143,1488022210.82764,285096.041411076,48439
167,2648505,82,0,0,82,82,5,369.521951219512,754.024390243902,384.50243902439,0,0,0.0609756097560976,359922247.670898,126036.020924177,48505
168,2648451,378,126,120,378,378,254,496.263492063492,1014.25317460317,517.989682539683,0.333333333333333,0.317460317460317,0.671957671957672,1008739577.90186,243278.921920033,48451
169,2648433,311,154,143,311,311,206,522.5,1047.3,524.8,0.495176848874598,0.459807073954984,0.662379421221865,1564573808.99072,213389.282930693,48433
170,2648429,193,51,48,193,193,112,468.530569948187,964.364248704663,495.833678756477,0.264248704663212,0.248704663212435,0.580310880829016,1530649639.16553,271279.046841496,48429
171,2648529,80,6,5,80,80,32,422.8,879.1,456.4,0.075,0.0625,0.4,138031296.115234,66789.2983971469,48529
172,2648509,78,15,14,78,78,36,446.5,935.1,488.6,0.192307692307692,0.179487179487179,0.461538461538462,248235330.911133,65592.9968736343,48509
173,2648519,133,12,10,133,133,30,415.797744360902,853.173684210526,437.403759398496,0.0902255639097744,0.075187969924812,0.225563909774436,215502145.928711,89720.4591040912,48519
174,2648880,81,25,25,81,81,48,472.2,967.5,495.3,0.308641975308642,0.308641975308642,0.592592592592593,2107316816.74805,262970.077760747,48880
175,2649250,92,28,25,92,92,47,482.430434782609,976.134782608696,493.691304347826,0.304347826086957,0.271739130434783,0.510869565217391,2193408178.745,245267.971515161,49250
176,2649242,100,34,32,100,100,48,504.114,1006.654,502.64,0.34,0.32,0.48,2599652309.75867,415466.517951543,49242
177,2649930,49,16,14,49,49,29,488.6,984.9,496.3,0.326530612244898,0.285714285714286,0.591836734693878,1502139553.09375,276615.299250378,49930
178,2648754,12,0,0,12,12,0,441.7,910,468.3,0,0,0,1020038553.68555,235750.099667659,48754
179,2648842,373,108,104,373,373,217,480.5,985.4,504.8,0.289544235924933,0.278820375335121,0.581769436997319,508099441.550293,162675.941324595,48842
180,2648872,106,29,25,106,106,59,477.4,964.3,487,0.273584905660377,0.235849056603774,0.556603773584906,1615218624.94482,330791.290186867,48872
181,2648881,56,21,20,56,56,32,504.3,1008.4,504.1,0.375,0.357142857142857,0.571428571428571,1572246032.18652,276177.222467162,48881
182,2648838,240,86,70,240,240,125,483.5,972.2,488.7,0.358333333333333,0.291666666666667,0.520833333333333,2683576169.99121,422209.043816545,48838
183,2648739,25,0,0,25,25,9,449.2,893.6,444.4,0,0,0.36,2740900835.25879,399549.620551373,48739
184,2649310,46,0,0,46,46,15,435.7,895.9,460.2,0,0,0.326086956521739,2493617999.71484,342133.85577967,49310
185,2649048,99,25,24,99,99,41,468.2,950.8,482.6,0.252525252525253,0.242424242424242,0.414141414141414,1094320400.20215,259789.51819459,49048
186,2649006,345,62,59,345,345,168,449.4,933.2,483.8,0.179710144927536,0.171014492753623,0.48695652173913,181904409.989502,110458.246021234,49006
187,2649097,210,80,78,210,210,131,496.807142857143,1013.87142857143,517.064285714286,0.380952380952381,0.371428571428571,0.623809523809524,2157491855.87329,302636.121092877,49097
188,2649508,599,172,162,599,599,288,477.4,961.3,483.9,0.287145242070117,0.270450751252087,0.480801335559265,336370573.406738,126940.389037386,49508
189,2649301,183,110,103,183,183,149,555.2,1121,565.7,0.601092896174863,0.562841530054645,0.814207650273224,1618306011.06982,286843.124986536,49301
190,2649655,83,11,11,83,83,33,441,903,462,0.132530120481928,0.132530120481928,0.397590361445783,2550561283.68359,337629.587857956,49655
191,2648003,101,33,31,101,101,60,497.4,1007.2,509.8,0.326732673267327,0.306930693069307,0.594059405940594,922150394.815918,140438.208520807,48003
192,2649256,56,9,9,56,56,24,464.8,939.8,475,0.160714285714286,0.160714285714286,0.428571428571429,1643576275.14722,282624.700293332,49256
193,2648169,264,94,91,264,264,179,499.796590909091,1022.99204545455,523.195454545455,0.356060606060606,0.34469696969697,0.678030303030303,1754883750.51196,280494.149016358,48169
194,2648178,531,329,307,531,531,396,551.090395480226,1092.15141242938,541.061016949153,0.619585687382298,0.578154425612053,0.745762711864407,1464321135.89771,301540.464731402,48178
195,2649868,55,11,11,55,55,29,462.4,936.2,473.8,0.2,0.2,0.527272727272727,20762355699.375,854338.400228586,49868
196,2649781,47,10,7,47,47,17,448.7,918.1,469.4,0.212765957446809,0.148936170212766,0.361702127659574,2816982034.02734,526843.579824392,49781
197,2648062,116,31,30,116,116,74,485,982.2,497.2,0.267241379310345,0.258620689655172,0.637931034482759,1102988621.45557,173309.750227131,48062
198,2648036,30,0,0,30,30,0,383.346666666667,801.996666666667,418.686666666667,0,0,0,238021430.932129,160107.47033465,48036
199,2648312,324,85,79,324,324,173,468.4,957.4,489,0.262345679012346,0.243827160493827,0.533950617283951,315694214.179688,93351.0680110429,48312
200,2648043,42,0,0,42,42,10,402.9,835.7,432.9,0,0,0.238095238095238,117910012.125488,61114.3660835173,48043
201,2649849,136,54,52,136,136,89,501.773529411765,1017.95441176471,516.180882352941,0.397058823529412,0.382352941176471,0.654411764705882,8327931866.85352,981159.063046505,49849
202,2648131,124,40,37,124,124,82,479.7,998.5,518.9,0.32258064516129,0.298387096774194,0.661290322580645,1408100763.89453,234947.880026892,48131
203,2649437,117,34,31,117,117,59,482.2,972.9,490.7,0.290598290598291,0.264957264957265,0.504273504273504,2216056871.87207,350767.784296835,49437
204,2649412,189,67,61,189,189,114,493.995238095238,999.466666666667,505.471428571429,0.354497354497354,0.322751322751323,0.603174603174603,3090394200.3208,353346.387357239,49412
205,2648309,414,259,243,414,414,309,563.767632850242,1112.89371980676,549.126086956522,0.6256038647343,0.58695652173913,0.746376811594203,431294759.439941,95157.0806904893,48309
206,2648360,601,327,311,601,601,461,537.85540765391,1085.24542429285,547.390016638935,0.544093178036606,0.517470881863561,0.767054908485857,355137564.010254,105966.83573802,48360
207,2648328,400,62,53,400,400,139,438.951,894.6935,455.7425,0.155,0.1325,0.3475,323686930.187988,120841.476342788,48328
208,2649417,476,218,209,476,476,327,518.098949579832,1047.23193277311,529.039075630252,0.457983193277311,0.439075630252101,0.686974789915966,1525203802.92676,255608.591721113,49417
209,2649424,509,197,184,509,509,307,502.1,1015.8,513.7,0.387033398821218,0.361493123772102,0.603143418467583,1796593554.48438,313729.931423698,49424
210,2648638,48,23,23,48,48,40,512.1,1063.1,551,0.479166666666667,0.479166666666667,0.833333333333333,188695954.822266,65921.5860966481,48638
211,2648023,483,170,159,483,483,296,503.5,1008.1,504.6,0.351966873706004,0.329192546583851,0.612836438923395,477818240.361328,107934.129517636,48023
212,2648103,833,513,498,833,833,644,568.410204081633,1141.1600240096,572.749819927971,0.615846338535414,0.597839135654262,0.773109243697479,1827202611.73828,297684.532174041,48103
213,2648104,179,97,95,179,179,124,549.489944134078,1117.25754189944,567.767597765363,0.541899441340782,0.53072625698324,0.692737430167598,223669174.813477,118277.166416001,48104
214,2648205,121,0,0,121,121,0,366.8,754.1,387.4,0,0,0,177924795.137695,68397.233078354,48205
215,2648214,71,0,0,71,71,6,380.830985915493,777.07323943662,396.178873239437,0,0,0.0845070422535211,156919451.628418,58873.4045731157,48214
216,2648146,240,57,51,240,240,90,455.6,919.5,463.9,0.2375,0.2125,0.375,163644902.303467,55477.5895294715,48146
217,2648101,286,116,109,286,286,176,509.511538461538,1021.33531468531,511.823776223776,0.405594405594406,0.381118881118881,0.615384615384615,197021949.11792,79081.6132287102,48101
218,2648193,214,91,88,214,214,162,514.8,1052.2,537.4,0.425233644859813,0.411214953271028,0.757009345794393,202929961.276367,93924.2489242778,48193
219,2648223,72,37,7,72,72,9,493.8,904.7,411,0.513888888888889,0.0972222222222222,0.125,168757060.687012,65999.4604661677,48223
220,2648180,494,80,77,494,494,202,440.523076923077,904.264170040486,463.741093117409,0.161943319838057,0.15587044534413,0.408906882591093,658853024.37207,104934.35418698,48180
221,2648185,394,102,88,394,394,187,464.009137055838,944.095685279188,480.081218274112,0.258883248730964,0.223350253807107,0.474619289340102,339422800.149414,102006.617676821,48185
222,2648208,148,0,0,148,148,17,390.190540540541,796.040540540541,405.793243243243,0,0,0.114864864864865,88156261.2155762,51598.8197379479,48208
223,2649423,365,139,132,365,365,207,494.88,1001.92630136986,506.99095890411,0.380821917808219,0.361643835616438,0.567123287671233,2208942375.25586,301498.512878179,49423
