"Zip_Code","Median","FinalMathAveScore","FinalAllSbjtAveScore","FinalEWBRWAveScore"
48843,78077,505.7,1010.6,504.9
48178,54890,551.090395480226,1092.15141242938,541.061016949153
49781,53255,448.7,918.1,469.4
48062,50334,485,982.2,497.2
48065,122002,518.6,1044.6,526
48048,62286,497.6,991.7,494.1
48823,52029,541.6,1099.3,557.7
48047,86897,340,735.5,395.5
48047,76160,340,735.5,395.5
48042,96392,516.5,1031.3,514.8
48044,3e+05,527.3,1046.9,519.5
48044,51025,527.3,1046.9,519.5
48316,69412,548.7,1089.9,541.2
48307,39211,457.3,911.3,454
48317,88833,513.5,1028.5,515
48044,79013,527.3,1046.9,519.5
48313,3e+05,519.75290957923,1032.85971351835,513.085586392122
48823,0,541.6,1099.3,557.7
48310,60786,368.8,769.6,400.8
48313,50231,519.75290957923,1032.85971351835,513.085586392122
48310,69478,368.8,769.6,400.8
48312,67033,468.4,957.4,489
48312,47618,468.4,957.4,489
48310,60396,368.8,769.6,400.8
48038,44715,513.473387096774,1024.39758064516,510.924193548387
48038,71224,513.473387096774,1024.39758064516,510.924193548387
48043,64133,402.9,835.7,432.9
48864,72379,517.842419825073,1051.71895043732,533.870991253644
48035,54438,411.058426966292,847.175842696629,436.062921348315
48035,53599,411.058426966292,847.175842696629,436.062921348315
48038,50020,513.473387096774,1024.39758064516,510.924193548387
48043,3e+05,402.9,835.7,432.9
48043,3e+05,402.9,835.7,432.9
48045,71651,482.4,973.4,491.1
48035,33073,411.058426966292,847.175842696629,436.062921348315
48082,43665,510.97890625,991.11015625,480.13125
48082,47989,510.97890625,991.11015625,480.13125
48081,3e+05,492.9,1004.6,511.7
48842,49456,480.5,985.4,504.8
48081,80458,492.9,1004.6,511.7
48080,36017,433,898.7,465.7
48080,48047,433,898.7,465.7
48236,58939,554.05824964132,1119.89569583931,565.837446197991
48026,49529,473.360043668122,979.357860262009,505.997816593886
48066,37497,415.7,878.9,463.2
48066,41251,415.7,878.9,463.2
48066,38347,415.7,878.9,463.2
48066,40094,415.7,878.9,463.2
48066,54193,415.7,878.9,463.2
49251,54336,485.3,987.9,502.6
48021,58367,405.4,829,423.6
48021,26765,405.4,829,423.6
48021,35186,405.4,829,423.6
48021,26975,405.4,829,423.6
48093,41805,487.4,998.5,511.1
48093,3e+05,487.4,998.5,511.1
48092,56135,459.204219409283,939.535021097046,480.330801687764
48093,35115,487.4,998.5,511.1
48088,57601,458.954372623574,928.838783269962,469.884410646388
48093,47789,487.4,998.5,511.1
48910,41174,416.001646090535,865.938271604938,449.936625514403
48091,48584,436.109426229508,887.271721311476,451.162295081967
48089,3e+05,398.474251497006,813.625149700599,415.061077844311
48089,35705,398.474251497006,813.625149700599,415.061077844311
48091,33546,436.109426229508,887.271721311476,451.162295081967
48091,30203,436.109426229508,887.271721311476,451.162295081967
48089,22281,398.474251497006,813.625149700599,415.061077844311
